# HTTP requests sent to Pandora services
mediawiki	http	pandora:user-attribute::user	1.0000	30.334 reqs per sec
metric-feeder-worker	http	pandora:template-classification-storage	0.0415	1.259 reqs per sec
mediawiki	http	pandora:phalanx::match	0.4233	12.841 reqs per sec
mediawiki	http	pandora:user-preference	0.2935	8.904 reqs per sec
mediawiki	http	pandora:helios::info	0.3083	9.351 reqs per sec
mediawiki	http	pandora:template-classification-storage	0.1412	4.284 reqs per sec
mobile-wiki	http	pandora:discussion::threads	0.0142	0.431 reqs per sec
mediawiki	http	pandora:article-video::internal	0.0406	1.231 reqs per sec
mediawiki	http	pandora:discussion::redirect	0.0001	0.003 reqs per sec
mediawiki	http	pandora:discussion::users	0.0024	0.074 reqs per sec
mediawiki	http	pandora:discussion::threads	0.0060	0.181 reqs per sec
mobile-wiki	http	pandora:discussion::forums	0.0070	0.211 reqs per sec
vignette	http	pandora:static-assets::image	0.0037	0.111 reqs per sec
mobile-wiki	http	pandora:helios::info	0.0025	0.076 reqs per sec
mediawiki	http	pandora:fandom-search-service::fandom	0.0034	0.102 reqs per sec
mobile-wiki	http	pandora:site-attribute::site	0.0000	0.001 reqs per sec
mobile-wiki	http	pandora:user-attribute::user	0.0006	0.019 reqs per sec
mobile-wiki	http	pandora:discussion::permalinks	0.0001	0.004 reqs per sec
mobile-wiki	http	pandora:user-permissions::permissions	0.0007	0.020 reqs per sec
apache-httpclient	http	pandora:helios::info	0.0001	0.002 reqs per sec
mediawiki	http	pandora:discussion::forums	0.0001	0.003 reqs per sec
mediawiki	http	pandora:site-attribute::site	0.0000	0.001 reqs per sec
mercury	http	pandora:user-registration::users	0.0000	0.001 reqs per sec
mediawiki	http	pandora:image-review::image	0.0000	0.000 reqs per sec
mediawiki	http	pandora:user-avatar::user	0.0000	0.000 reqs per sec
mediawiki	http	pandora:external-auth::facebook	0.0000	0.001 reqs per sec
